,article_w_version,Source_Statement_Match_Rate,Source_Type_Match_Rate,Source_Name_Match_Rate,Source_Type_Name_Match_Rate,Source_Type_Correct_Name_Match_Rate,Source_Title_Match_Rate,Source_Justification_Match_Rate,Source_Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.28750000000000003,0.85,1.0,0.85,1.0,0.475,0.475,0.475,0.1375,0.7124999999999999,0.0,5.75,5.0,0.0,20.0
5,10-Nebraska-voting-rights_avg,0.75,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.5,0.8333333333333334,0.625,0.25,0.0,6.0,5.0,0.0,8.0
11,11-Nebraska-felons-crim-justice_avg,0.51,0.9418181818181818,0.6472727272727272,0.6472727272727272,0.6866666666666666,0.41090909090909095,0.5490909090909091,0.6472727272727272,0.32999999999999996,0.49000000000000005,0.0,10.2,6.6,0.0,20.0
17,12-kids-lead-poisoning_avg,0.6,1.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.4,0.26666666666666666,1.2,1.0,0.8,2.8
23,13-pilot-curb-evictions_avg,0.6285714285714284,0.7855555555555556,0.5566666666666666,0.5566666666666666,0.6955555555555556,0.44222222222222224,0.4527777777777778,0.6316666666666666,0.3571428571428571,0.37142857142857144,0.04,8.8,5.0,0.6,14.6
29,14-many-police-calls_avg,0.3391304347826087,0.9555555555555555,0.8698412698412697,0.8698412698412697,0.9142857142857143,0.8698412698412697,0.4920634920634921,0.8857142857142856,0.28695652173913044,0.6608695652173913,0.049333333333333326,7.8,6.8,1.2,24.2
35,15-Newsom-declares-emergency_avg,0.7333333333333332,0.9277777777777777,0.7433333333333334,0.7433333333333334,0.800909090909091,0.2966666666666667,0.1811111111111111,0.47777777777777775,0.27999999999999997,0.26666666666666666,0.0,11.0,8.2,0.0,15.0
41,16-America's-Sleeping-Giant_avg,0.5384615384615384,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.5428571428571429,0.0,0.5428571428571429,0.2923076923076923,0.46153846153846156,0.0,7.0,5.0,0.0,13.0
47,17-homelessness-santa-clara_avg,0.33999999999999997,1.0,1.0,1.0,1.0,0.5904761904761905,0.4095238095238095,0.8523809523809524,0.29000000000000004,0.6599999999999999,0.0,6.8,6.8,0.0,20.0
53,18-wyoming-primary-dems_avg,0.6,0.9555555555555555,0.9555555555555555,0.9555555555555555,1.0,0.13015873015873014,0.4793650793650793,0.6095238095238095,0.3384615384615385,0.4,0.04285714285714286,7.8,7.4,0.6,13.6
59,19-oakland-sues-SW-airlines_avg,0.26666666666666666,1.0,1.0,1.0,1.0,0.6333333333333332,0.3166666666666666,0.3166666666666666,0.08333333333333333,0.7333333333333333,0.0,3.2,3.2,0.0,12.0
65,2-Best-DDR-player_avg,0.5047619047619046,0.9155555555555555,0.9155555555555555,0.9155555555555555,1.0,0.0,0.9155555555555555,0.9155555555555555,0.45714285714285713,0.49523809523809526,0.0,10.6,9.6,0.0,21.0
71,20-bill-easier-access_avg,0.675,0.8133333333333332,0.8133333333333332,0.8133333333333332,1.0,0.6266666666666667,0.0,0.5066666666666666,0.35,0.325,0.0,5.4,4.4,0.0,8.0
77,21-trump-kamala-mispronounce_avg,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.27999999999999997,2.0,2.0,1.2,4.2
83,22-Judge-rules-breona-taylor_avg,0.5375,0.9555555555555555,0.838095238095238,0.7936507936507936,0.8269841269841269,0.5142857142857142,0.4698412698412698,0.5142857142857142,0.275,0.4625,0.058823529411764705,8.6,6.8,1.0,17.0
89,23-black-landowners-11mins_avg,0.6375,0.6872727272727273,0.6072727272727273,0.5890909090909091,0.8571428571428571,0.3927272727272727,0.3527272727272728,0.7654545454545454,0.375,0.3625,0.047058823529411764,10.2,6.4,0.8,16.8
95,24-what-happens-to-migrants_avg,0.4363636363636364,1.0,0.65,0.65,0.65,0.65,0.225,0.875,0.2909090909090909,0.5636363636363636,0.12564102564102564,4.8,3.2,1.6,12.6
101,25-ballot-access-trans_avg,0.39459459459459467,1.0,0.8566666666666667,0.8566666666666667,0.8566666666666667,0.5608333333333333,0.525,0.6775,0.2756756756756757,0.6054054054054054,0.0,14.6,12.8,0.0,37.0
107,26-biden-harris-11M_avg,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,2.0
113,27-general-assembly-landlords_avg,0.47058823529411764,0.875,0.875,0.875,1.0,0.25,0.25,0.375,0.17647058823529413,0.5294117647058824,0.0,8.0,7.0,0.0,17.0
119,28-scranton-ukrainian-weapons_avg,0.8363636363636363,0.9636363636363636,0.8537878787878788,0.8537878787878788,0.8861111111111111,0.6813131313131312,0.5242424242424243,0.7439393939393939,0.618181818181818,0.16363636363636364,0.08333333333333333,9.2,7.8,1.0,12.0
125,29-tim-scott-deregulate_avg,0.225,0.2833333333333333,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.775,0.0,3.6,0.0,0.0,16.0
131,3-SF renewed-sweeps_avg,0.5520833333333334,0.7177197802197803,0.641941391941392,0.6062271062271062,0.8444444444444444,0.22733516483516486,0.3788919413919414,0.6240842490842491,0.3333333333333333,0.4479166666666667,0.05846153846153847,13.25,8.0,1.5,25.5
136,30-la-lower-rent-hikes_avg,0.13513513513513514,0.8,0.4,0.4,0.5,0.0,0.4,0.4,0.02702702702702703,0.8648648648648649,0.0,5.0,2.0,0.0,37.0
142,31-SV-GT-vermont_bill_avg,0.792,0.9494235588972432,0.9088972431077694,0.9088972431077694,0.9573099415204677,0.12631578947368421,0.5237593984962405,0.8757393483709274,0.664,0.20799999999999996,0.0,19.8,18.0,0.0,25.0
148,32-openai_board_avg,0.8,0.07380952380952381,0.5904761904761905,0.07380952380952381,1.0,0.0,0.4428571428571428,0.4428571428571428,0.0,0.2,0.05555555555555556,13.6,1.0,1.0,18.0
154,33-human-border_patrol_towers_avg,0.32857142857142857,1.0,0.777936507936508,0.777936507936508,0.777936507936508,0.20325396825396824,0.4314285714285714,0.4314285714285714,0.11428571428571428,0.6714285714285715,0.020689655172413793,9.2,7.0,0.6,28.6
160,34-human-ca_guanranteed_income_avg,0.45185185185185184,1.0,0.7538461538461538,0.7538461538461538,0.7538461538461538,0.32820512820512815,0.6717948717948717,0.7538461538461538,0.3407407407407407,0.548148148148148,0.0,12.2,9.2,0.0,27.0
166,4-SFO-Labor-Day_avg,0.9,1.0,1.0,1.0,1.0,0.5555555555555556,0.04444444444444444,0.6,0.54,0.1,0.13636363636363635,9.0,9.0,1.6,11.6
172,5-Humboldt-SF-homeless-bus_avg,0.5666666666666667,1.0,1.0,1.0,1.0,0.4428571428571429,0.4714285714285714,0.8857142857142858,0.5,0.4333333333333334,0.07692307692307693,6.8,6.8,1.0,13.0
178,6-OUSD-basic-job_avg,0.48,1.0,1.0,1.0,1.0,0.4666666666666666,0.25,0.6666666666666666,0.32,0.52,0.0,12.0,11.0,0.0,25.0
184,7-District7-Candidate-Sues_avg,0.30158730158730157,0.7797619047619048,0.7797619047619048,0.7797619047619048,1.0,0.5178571428571429,0.21428571428571427,0.5654761904761905,0.17460317460317457,0.6984126984126983,0.04545454545454545,6.333333333333333,4.0,1.0,22.0
188,8-primary-recount-complete_avg,0.8,1.0,1.0,1.0,1.0,1.0,0.1,0.9,0.72,0.2,0.0,4.0,4.0,0.0,5.0
194,9-steph-curry-gold_avg,0.5555555555555556,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5555555555555556,0.4444444444444445,0.0,5.0,5.0,0.0,9.0
