article_w_version,model_name,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
27-general-assembly-landlords_avg,llama-3.1-70b-instruct,0.4705882352941177,0.8592592592592593,0.39215686274509803,0.7555555555555555,0.6148148148148148,0.7071428571428572,0.8925925925925927,0.3074074074074074,0.3074074074074074,0.1372549019607843,0.5294117647058824,0.08869395711500976,8.0,6.0,1.6666666666666667,18.666666666666668
28-scranton-ukrainian-weapons_avg,llama-3.1-70b-instruct,0.8,0.7566666666666666,0.6,0.6200000000000001,0.6200000000000001,0.8142857142857143,0.6422222222222222,0.3077777777777778,0.37777777777777777,0.4909090909090909,0.2,0.27321428571428574,8.8,5.6,4.2,15.2
29-tim-scott-deregulate_avg,llama-3.1-70b-instruct,0.484375,0.4126984126984127,0.203125,0.3571428571428571,0.27976190476190477,0.6666666666666666,0.3571428571428571,0.20436507936507936,0.20436507936507936,0.015625,0.515625,0.2515151515151515,7.75,2.25,5.5,21.5
3-SF renewed-sweeps_avg,llama-3.1-70b-instruct,0.4,0.538888888888889,0.2166666666666667,0.47444444444444445,0.47444444444444445,0.8800000000000001,0.47444444444444445,0.0611111111111111,0.08611111111111111,0.07499999999999998,0.6,0.1297208538587849,9.6,4.6,3.6,27.6
30-la-lower-rent-hikes_avg,llama-3.1-70b-instruct,0.3567567567567568,0.8789377289377288,0.31351351351351353,0.5749084249084249,0.5749084249084249,0.6536130536130536,0.5749084249084249,0.0,0.0,0.016216216216216217,0.6432432432432432,0.0755146322465784,13.2,7.6,3.2,40.2
31-SV-GT-vermont_bill_avg,llama-3.1-70b-instruct,0.48,0.7167832167832169,0.33999999999999997,0.7167832167832169,0.7167832167832169,1.0,0.7167832167832169,0.17482517482517482,0.21328671328671328,0.3,0.52,0.0728021978021978,12.0,8.5,2.0,27.0
32-openai_board_avg,llama-3.1-70b-instruct,0.7294117647058823,0.26,0.18823529411764708,0.5261538461538461,0.19384615384615383,0.7499999999999999,0.5261538461538461,0.37846153846153846,0.3984615384615385,0.07058823529411765,0.2705882352941177,0.189004329004329,12.4,2.8,4.0,21.0
33-human-border_patrol_towers_avg,llama-3.1-70b-instruct,0.4732142857142857,0.9052197802197803,0.4285714285714286,0.7362637362637363,0.7170329670329672,0.792948717948718,0.7184065934065934,0.13461538461538464,0.13461538461538464,0.25,0.5267857142857143,0.09630376344086022,13.25,9.5,3.0,31.0
34-human-ca_guanranteed_income_avg,llama-3.1-70b-instruct,0.4444444444444445,0.8883333333333333,0.4,0.8902777777777778,0.8008333333333333,0.9066666666666666,0.8902777777777778,0.2863888888888889,0.2863888888888889,0.23703703703703702,0.5555555555555556,0.12866935483870967,12.0,7.0,4.0,31.0
4-SFO-Labor-Day_avg,llama-3.1-70b-instruct,0.96,1.0,0.96,1.0,1.0,1.0,1.0,0.1622222222222222,0.28444444444444444,0.72,0.04,0.16433566433566432,9.6,9.6,2.0,12.0
